,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
241,A.J. Green,SG,24,MIL,49,0,10.2,1.5,3.4,.429,1.2,3.0,.414,0.2,0.5,.522,.607,0.3,0.3,.938,0.2,1.0,1.1,0.6,0.1,0.0,0.2,0.9,4.5,2024,11.4,.626,.863,.095,1.8,10.3,6.1,7.2,0.6,0.3,4.4,15.8,0.8,0.3,1.0,.100,0.4,-1.8,-1.4,0.1
358,A.J. Lawson,SG,23,DAL,35,0,7.2,1.3,2.8,.485,0.4,1.2,.310,1.0,1.6,.618,.552,0.4,0.6,.619,0.3,0.7,1.0,0.4,0.3,0.1,0.3,0.6,3.4,2024,13.3,.565,.433,.216,5.2,10.0,7.6,7.8,1.9,1.0,8.6,19.8,0.2,0.2,0.4,.072,-2.0,-1.2,-3.1,-0.1
248,AJ Griffin,SF,20,ATL,18,0,7.3,0.7,2.5,.289,0.5,1.8,.273,0.2,0.7,.333,.389,0.1,0.1,1.000,0.1,0.7,0.8,0.2,0.1,0.1,0.3,0.3,2.1,2024,1.8,.403,.733,.044,1.6,10.3,5.8,3.8,0.4,0.7,11.6,16.3,-0.3,0.0,-0.3,-0.096,-5.3,-3.3,-8.6,-0.2
237,Aaron Gordon,PF,28,DEN,67,67,31.6,5.5,10.0,.552,0.5,1.9,.288,5.0,8.1,.613,.579,2.3,3.6,.654,2.4,4.1,6.5,3.4,0.8,0.6,1.5,1.9,13.9,2024,16.4,.602,.187,.359,8.7,14.1,11.5,14.4,1.2,1.7,11.3,18.0,3.7,2.3,6.0,.137,0.9,-0.1,0.8,1.5
285,Aaron Holiday,PG,27,HOU,70,1,16.4,2.3,5.3,.442,1.1,2.8,.392,1.3,2.5,.497,.544,0.7,0.8,.912,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.5,6.5,2024,11.4,.576,.523,.154,1.9,8.6,5.2,15.6,1.6,0.5,10.8,16.5,1.1,1.2,2.3,.097,-1.8,0.4,-1.3,0.2
473,Aaron Nesmith,SF,24,IND,65,40,27.6,4.4,8.9,.491,2.0,4.8,.430,2.3,4.1,.561,.606,1.4,1.9,.754,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,2024,12.8,.628,.535,.211,3.5,11.9,7.7,6.8,1.6,2.1,8.5,16.1,2.3,1.2,3.5,.095,-0.3,-0.1,-0.4,0.7
681,Aaron Wiggins,SG,25,OKC,69,1,14.8,2.5,4.2,.580,0.8,1.6,.505,1.7,2.7,.624,.672,0.6,0.8,.764,0.8,1.6,2.3,0.9,0.6,0.2,0.7,1.1,6.3,2024,15.2,.687,.365,.188,6.0,11.2,8.7,8.2,1.9,1.4,12.9,15.4,1.8,1.2,3.0,.143,0.6,0.1,0.7,0.7
188,Adam Flagler,SG,24,OKC,1,0,6.0,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024,-13.7,.000,1.000,.000,0.0,0.0,0.0,18.0,0.0,0.0,0.0,21.7,-0.1,0.0,-0.1,-0.450,-17.9,-8.9,-26.9,0.0
566,Adama Sanogo,PF,21,CHI,4,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.5,0.8,.667,0.8,1.0,1.8,0.0,0.0,0.0,0.3,0.0,2.5,2024,39.2,.940,.000,.750,27.4,37.9,32.6,0.0,0.0,0.0,15.8,23.1,0.1,0.0,0.1,.333,12.3,0.8,13.1,0.0
571,Admiral Schofield,PF,26,ORL,20,0,3.6,0.4,1.1,.364,0.2,0.7,.308,0.2,0.5,.444,.455,0.0,0.1,.000,0.1,0.6,0.7,0.3,0.1,0.0,0.2,0.4,1.0,2024,3.9,.437,.591,.091,3.3,18.3,10.7,9.7,0.7,0.0,14.9,16.5,-0.1,0.1,0.0,-0.027,-5.8,-1.1,-6.9,-0.1
