,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,1,Precious Achiuwa,PF-C,24,TOT,66,18,22.7,3.4,6.7,.509,0.4,1.4,.272,3.0,5.3,.571,.537,1.0,1.6,.620,2.7,4.1,6.8,1.4,0.7,1.0,1.2,1.9,8.2,2024
1,1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,2024
2,1,Precious Achiuwa,PF,24,NYK,41,18,26.0,3.6,6.7,.540,0.3,1.1,.267,3.3,5.6,.594,.562,1.0,1.6,.652,3.2,4.5,7.7,1.2,0.7,1.3,1.2,2.1,8.6,2024
3,2,Bam Adebayo,C,26,MIA,62,62,34.3,7.6,14.7,.521,0.2,0.5,.357,7.5,14.2,.526,.526,4.3,5.7,.749,2.3,8.4,10.7,4.0,1.1,1.0,2.3,2.3,19.7,2024
4,3,Ochai Agbaji,SG,23,TOT,72,23,20.2,2.3,5.5,.414,0.8,2.8,.305,1.4,2.7,.526,.491,0.4,0.6,.667,0.9,1.8,2.7,1.0,0.6,0.5,0.8,1.4,5.8,2024
5,3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,2024
6,3,Ochai Agbaji,SG,23,TOR,21,13,21.6,2.8,7.0,.395,0.7,2.8,.241,2.1,4.2,.494,.442,0.6,1.0,.591,1.5,1.8,3.2,1.2,0.7,0.4,1.0,1.7,6.8,2024
7,4,Santi Aldama,PF,23,MEM,60,34,26.6,4.1,9.4,.435,1.8,5.0,.351,2.3,4.4,.532,.529,0.9,1.5,.621,1.2,4.6,5.8,2.3,0.7,0.9,1.2,1.5,10.9,2024
8,5,Nickeil Alexander-Walker,SG,25,MIN,73,19,23.6,2.8,6.4,.432,1.5,4.0,.385,1.2,2.4,.511,.553,0.6,0.8,.786,0.5,1.6,2.0,2.5,0.8,0.5,0.9,1.8,7.6,2024
9,6,Grayson Allen,SG,28,PHO,68,68,33.6,4.5,8.9,.505,2.8,5.9,.470,1.8,3.1,.571,.659,1.7,1.9,.884,0.6,3.2,3.8,3.1,0.9,0.6,1.3,2.1,13.5,2024
10,7,Jarrett Allen,C,25,CLE,69,69,31.6,6.6,10.4,.631,0.0,0.1,.000,6.6,10.4,.635,.631,3.1,4.2,.744,3.2,7.5,10.7,2.7,0.7,1.1,1.6,2.0,16.3,2024
11,8,Jose Alvarado,PG,25,NOP,51,0,17.8,2.5,6.1,.408,1.3,3.5,.371,1.2,2.6,.458,.515,0.7,1.0,.680,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.5,6.9,2024
12,9,Kyle Anderson,PF,30,MIN,70,10,22.9,2.6,5.5,.470,0.1,0.6,.225,2.4,4.9,.499,.482,1.3,1.9,.715,0.8,2.8,3.6,4.3,0.9,0.6,1.2,1.6,6.6,2024
13,10,Giannis Antetokounmpo,PF,29,MIL,68,68,35.2,11.5,18.7,.616,0.5,1.7,.288,11.0,17.0,.649,.629,7.2,10.9,.657,2.7,8.8,11.5,6.4,1.2,1.0,3.4,2.9,30.7,2024
14,11,Thanasis Antetokounmpo,PF,31,MIL,29,0,4.7,0.4,0.9,.500,0.0,0.0,.000,0.4,0.9,.520,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9,2024
15,12,Cole Anthony,PG,23,ORL,72,0,23.0,4.2,9.6,.436,1.1,3.4,.332,3.0,6.2,.494,.496,2.4,2.9,.818,0.9,3.2,4.0,3.0,0.8,0.5,1.6,2.3,11.9,2024
16,13,OG Anunoby,SF,26,TOT,44,44,34.0,5.7,11.5,.492,2.0,5.5,.371,3.7,6.1,.601,.580,1.5,2.0,.767,1.0,3.4,4.3,2.3,1.3,0.7,1.6,2.3,14.9,2024
17,13,OG Anunoby,SF,26,TOR,27,27,33.3,5.8,11.9,.489,2.3,6.0,.374,3.6,5.9,.608,.584,1.2,1.7,.717,0.9,3.0,3.9,2.7,1.0,0.5,1.6,2.3,15.1,2024
18,13,OG Anunoby,SF,26,NYK,17,17,35.2,5.5,11.0,.497,1.6,4.5,.364,3.8,6.5,.591,.572,1.9,2.4,.825,1.1,3.9,4.9,1.6,1.7,1.1,1.6,2.4,14.5,2024
19,14,Ryan Arcidiacono,PG,29,NYK,20,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.2,0.1,0.0,0.1,0.3,0.0,2024
20,15,Deni Avdija,SF,23,WAS,67,67,29.5,5.3,10.4,.507,1.2,3.0,.389,4.1,7.4,.555,.564,2.5,3.4,.731,1.2,5.9,7.1,3.8,0.8,0.4,2.1,2.5,14.3,2024
21,16,Deandre Ayton,C,25,POR,48,48,32.1,7.3,12.6,.580,0.0,0.1,.250,7.3,12.5,.582,.581,1.2,1.4,.812,3.2,7.8,11.0,1.6,1.0,0.8,1.8,2.1,15.8,2024
22,17,Udoka Azubuike,C,24,PHO,14,0,7.6,1.1,1.6,.727,0.0,0.0,,1.1,1.6,.727,.727,0.2,0.8,.273,0.8,1.5,2.3,0.2,0.1,0.4,0.3,1.2,2.5,2024
23,18,Ibou Badji,C,21,POR,21,1,10.3,0.6,1.0,.650,0.0,0.0,,0.6,1.0,.650,.650,0.3,0.6,.500,1.0,1.5,2.4,0.6,0.1,1.0,0.7,2.1,1.5,2024
24,19,Marvin Bagley III,C,24,TOT,48,23,21.2,4.8,8.2,.589,0.2,0.5,.409,4.6,7.8,.599,.600,2.0,2.6,.758,2.6,3.6,6.2,1.1,0.4,0.7,1.1,1.6,11.8,2024
25,19,Marvin Bagley III,C,24,DET,26,10,18.4,4.1,7.0,.591,0.0,0.2,.167,4.1,6.7,.606,.594,1.9,2.3,.820,1.8,2.8,4.5,1.0,0.2,0.5,1.1,1.5,10.2,2024
26,19,Marvin Bagley III,C,24,WAS,22,13,24.5,5.7,9.7,.587,0.4,0.7,.500,5.3,9.0,.594,.606,2.0,2.9,.698,3.7,4.5,8.2,1.3,0.5,0.9,1.2,1.7,13.7,2024
27,20,Amari Bailey,PG,19,CHO,8,0,3.9,0.4,1.5,.250,0.0,0.6,.000,0.4,0.9,.429,.250,0.1,0.3,.500,0.3,0.0,0.3,0.3,0.1,0.0,0.1,0.0,0.9,2024
28,21,Patrick Baldwin Jr.,SF,21,WAS,31,3,10.1,1.1,3.1,.340,0.6,1.8,.316,0.5,1.3,.375,.433,0.4,0.6,.684,0.4,2.2,2.6,0.6,0.3,0.4,0.4,1.1,3.1,2024
